Tỉnh,Quận,Trường
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Cảnh Thuỵ (24221419)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Tiến Dũng (24221420)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Trí Yên (24221421)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Tân Liễu (24221423)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Thị trấn Tân An (24221426)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường TH&THCS TTr Tân An. (24221511)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường TH&THCS Lão Hộ (24221523)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Xuân Lương (24215401)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Canh Nậu (24215402)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Tam Tiến (24215403)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Đồng Vương (24215404)
Tỉnh Bắc Giang,Huyện Yên Thế,Tiểu học Đồng Tiến (24215405)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học An Thượng (24215406)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Tiến Thắng (24215407)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Đồng Kỳ (24215408)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Hương Vỹ (24215409)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Đông Sơn (24215410)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Đồng Hưu (24215411)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Tam Hiệp (24215412)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học TT Phồn Xương (24215413)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Đồng Lạc. (24215416)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Tân Sỏi (24215417)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học Hồng Kỳ (24215419)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường Tiểu học TT Bố Hạ (24215420)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường TH&THCS Tân Hiệp (24215508)
Tỉnh Bắc Giang,Huyện Yên Thế,Trường TH & THCS Đồng Tâm (24215601)
