Tỉnh,Quận,Trường
Tỉnh An Giang,Thành phố Long Xuyên,Trẻ em khuyết tật (89883D01)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học Phú Lâm-PT (89888404)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học A Phú Thạnh-PT (89888405)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học B Phú Thạnh-PT (89888406)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học A Chợ Vàm-PT (89888408)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học B Chợ Vàm-PT (89888409)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học Phú An (89888411)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học B Phú An-PT (89888412)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học Phú Thọ (89888413)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học A Phú Mỹ-PT (89888415)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học B Phú Mỹ-PT (89888416)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học C Phú Mỹ-PT (89888417)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học A Tân Hoà-PT (89888422)
Tỉnh An Giang,Huyện Phú Tân,Tiểu Học A Phú Hưng- PT (89888423)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học B Phú Hưng-PT (89888424)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học A Bình Thạnh Đông-PT (89888426)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học B Bình Thạnh Đông (89888427)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học A Phú Bình-PT (89888428)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học B Phú Bình-PT (89888429)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học A Hoà Lạc-PT (89888431)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học B Hoà Lạc-PT (89888432)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học C Hoà Lạc-PT (89888433)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học Phú Hiệp-PT (89888436)
Tỉnh An Giang,Huyện Phú Tân,Tiẻu học Hiệp Xương (89888437)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học Phú Xuân-PT (89888440)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học Phú Thành-PT (89888441)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học Phú Long-PT (89888443)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học Tân Trung (89888445)
Tỉnh An Giang,Huyện Phú Tân,Tiểu học Long Hoà-PT (89888446)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học Phú Lộc-TC (89887401)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học A Vĩnh Xương-TC (89887403)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học C Vĩnh Xương-TC (89887405)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học A Vĩnh Hòa (89887406)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học B Vĩnh Hoà-TC (89887407)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học A Tân An-TC (89887409)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học B Tân An-TC (89887410)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học Tân Thạnh -TC (89887412)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học A Long An-TC (89887413)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học Long Châu (89887414)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học B Long An-TC (89887415)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học Long Hưng -TC (89887416)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học Bán trú A Long Thạnh TC (89887417)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học B Long Thạnh (89887419)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học Long Phú-TC (89887420)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học A Phú Vĩnh-TC (89887422)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học B Phú Vĩnh-TC (89887423)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học Lê Chánh-TC (89887425)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học A Châu Phong-TC (89887427)
Tỉnh An Giang,Thị xã Tân Châu,Trường TH B Châu Phong (89887428)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu Học A Long Sơn (89888401)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học Long Sơn (89888402)
Tỉnh An Giang,Thị xã Tân Châu,Tiểu học D Châu Phong (89888435)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học An Bình (89894401)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học Tây Phú (89894402)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Óc Eo (89894404)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Óc Eo (89894405)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Vọng Đông (89894407)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Vọng Đông (89894408)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học Mỹ Phú Đông (89894411)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Thoại Giang (89894412)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Thoại Giang (89894413)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Núi Sập (89894414)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Núi Sập (89894415)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học C Núi Sập (89894416)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Định Thành (89894417)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Định Thành (89894418)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Định Mỹ (89894420)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Định Mỹ (89894421)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Vĩnh Phú (89894422)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Vĩnh Phú (89894423)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Vĩnh Trạch (89894424)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Vĩnh Trạch (89894425)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Vĩnh Khánh (89894426)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Vĩnh Khánh (89894427)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Vĩnh Chánh (89894429)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Vĩnh Chánh (89894430)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Phú Hoà (89894432)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Phú Hòa (89894433)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học Phú Thuận (89894435)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học Vọng Thê (89894437)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học A Bình Thành (89894438)
Tỉnh An Giang,Huyện Thoại Sơn,Tiểu học B Bình Thành (89894439)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học A An Cư-TB (89890401)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B An Cư-TB (89890402)
Tỉnh An Giang,Huyện Tịnh Biên,Trường Tiểu học C An Cư-TB (89890403)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học D An Cư-TB (89890404)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học A TT Chi Lăng-TB (89890405)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B TT Chi Lăng-TB (89890406)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học A Thị Trấn Tịnh Biên (89890407)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B TT Tịnh Biên-TB (89890408)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học C TT Tịnh Biên-TB (89890409)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học A An Hảo-TB (89890411)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B An Hảo-TB (89890412)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học C An Hảo-TB (89890413)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học A Tân Lợi-TB (89890415)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B Tân Lợi-TB (89890416)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học A Nhơn Hưng-TB (89890417)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B Nhơn hưng-TB (89890418)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học Bán trú A Nhà Bàng-TB (89890419)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B Nhà Bàng-TB (89890420)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học C Nhà Bàng-TB (89890421)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học A An Phú-TB (89890422)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B An Phú-TB (89890423)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học A Vĩnh Trung-TB (89890424)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B Vĩnh Trung-TB (89890425)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học A Thới Sơn-TB (89890426)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học An Nông-TB (89890427)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học Văn Giáo-TB (89890428)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học Tân Lập-TB (89890430)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học Núi Voi-TB (89890431)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học C Tân Lợi-TB (89890432)
Tỉnh An Giang,Huyện Tịnh Biên,Tiểu học B Thới Sơn (89890433)
Tỉnh An Giang,Huyện Tịnh Biên,Trường TH & THCS Phan Chu Trinh - TB (89890510)
Tỉnh An Giang,Huyện Tịnh Biên,Trường TH & THCS Trần Quang Khải - TB (89890513)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A thị trấn Tri Tôn (89891401)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B TT Tri Tôn (89891402)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A Châu Lăng (89891403)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B Châu Lăng (89891404)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A Lương Phi (89891406)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B Lương Phi (89891407)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A Lương An Trà (89891408)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B Lương An Trà (89891409)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A thị trấn Ba Chúc (89891410)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B thị trấn Ba Chúc (89891411)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học Lê Trì (89891414)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học Lạc Quới (89891416)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học Vĩnh Gia (89891417)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A Tà Đảnh (89891419)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B Tà Đảnh (89891420)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học Tân Tuyến (89891422)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A Cô Tô (89891424)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B Cô Tô (89891425)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A Ô Lâm (89891427)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B Ô Lâm (89891428)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A An Tức (89891429)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B An Tức (89891430)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học A Núi Tô (89891431)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học B Núi Tô (89891432)
Tỉnh An Giang,Huyện Tri Tôn,Tiểu học và Trung học cơ sở Vĩnh Phước (89891433)
